program_id,program_label,marker,measured_in_object,intended_in_registry,base_program_id,provenance_inherited,counted_in_primary_panel_totals,registry_rationale,citation_key,cited_pmid,cited_doi,cited_title,evidence_class,support_basis,source_locator,species_basis,specificity_verdict,specificity_limit,allowed_claim,external_primary_support,reviewer_notes
th1_like,Th1-like,CXCR3,True,True,,False,True,Th1 chemokine receptor; canonical Th1 trafficking marker,zhupaul,18725574,10.1182/blood-2008-05-078154,"CD4 T cells: fates, functions, and faults.",cited_review_not_located,cited_not_located,"Zhu & Paul 2008 (review, PMID 18725574) is attached and topically relevant (CD4 Th1/Th2/Th17/iTreg review), but the openly-retrievable PMC copy (PMC2518872) contains only abstract/front-matter — no body text — so the Th1-section/Figure-2 support for this marker could NOT be independently located by the auditor. Candidate component pending an exact locator or added open-access source.",review,shared_with_activation,IFN-inducible; also CD8/NK/Tfh-subset; trafficking not lineage,"The cited review (Zhu & Paul 2008) is attached and topically relevant, but exact support for CXCR3 / this rationale was NOT located (PMC body not openly retrievable). CXCR3 remains a candidate panel component pending an exact locator or added source.",,Support not independently located; PMC body unavailable.
th1_like,Th1-like,TBX21,True,True,,False,True,"T-bet, the Th1 master transcription factor",szabo,10761931,10.1016/s0092-8674(00)80702-3,"A novel transcription factor, T-bet, directs Th1 lineage commitment.",directly_supported_primary,abstract_located,"Szabo 2000 abstract: 'isolation of T-bet, a Th1-specific T box transcription factor'",mouse+human Th,shared_other_lineage,T-bet also in CD8/NK/B; lineage-defining TF not CD4-exclusive,"T-bet is the primary-supported Th1 master TF; high-T-bet marks a Th1-type program, not CD4 identity.",,
th1_like,Th1-like,IFNG,True,True,,False,True,"IFN-γ, signature Th1 effector cytokine",szabo,10761931,10.1016/s0092-8674(00)80702-3,"A novel transcription factor, T-bet, directs Th1 lineage commitment.",directly_supported_primary,abstract_located,"Szabo 2000 abstract: 'hallmark Th1 cytokine, IFNgamma; T-bet expression correlates with IFN'",mouse+human Th,shared_other_lineage,pan-effector cytokine: CD8/NK/NKT and general activation,IFNG association with the Th1 program is primary-supported; it is not CD4- or Th1-specific.,,
th1_like,Th1-like,IL12RB2,True,True,,False,True,"IL-12 receptor β2, required for Th1 commitment",zhupaul,18725574,10.1182/blood-2008-05-078154,"CD4 T cells: fates, functions, and faults.",cited_review_not_located,cited_not_located,"Zhu & Paul 2008 (review, PMID 18725574) is attached and topically relevant (CD4 Th1/Th2/Th17/iTreg review), but the openly-retrievable PMC copy (PMC2518872) contains only abstract/front-matter — no body text — so the Th1-section/Figure-2 support for this marker could NOT be independently located by the auditor. Candidate component pending an exact locator or added open-access source.",review,shared_other_lineage,also on NK/NKT; Th1-enriched among CD4 subsets but not CD4-specific,"The cited review (Zhu & Paul 2008) is attached and topically relevant, but exact support for IL12RB2 / this rationale was NOT located (PMC body not openly retrievable). IL12RB2 remains a candidate panel component pending an exact locator or added source. NOTE: registry word 'required' is in any case stronger than review-level association.",,Registry 'required for commitment' overstates; support not independently located.
th2_like,Th2-like,PTGDR2,True,True,,False,True,"CRTH2, canonical Th2 surface marker",nagata,9973380,,Selective expression of a novel surface molecule by human Th2 cells in vivo.,directly_supported_primary,abstract_located,"Nagata 1999 abstract: 'expressed by Th2 but not Th1 lineage cells, named CRTH2'",human,shared_other_lineage,among CD4 fairly Th2-restricted; also ILC2/eosinophils/basophils,CRTH2/PTGDR2 is a primary-supported human Th2 surface marker; specific within CD4 but shared with ILC2/granulocytes.,,
th2_like,Th2-like,IL4,True,True,,False,True,signature Th2 cytokine / master driver,zhu2015,26044597,10.1016/j.cyto.2015.05.010,"T helper 2 (Th2) cell differentiation, type 2 innate lymphoid cell (ILC2) development and regulation of interleukin-4 (IL-4) and IL-13 production.",directly_supported_review,abstract_located,"Zhu 2015 abstract: 'IL-4, IL-5 and IL-13, the signature cytokines'",review,shared_other_lineage,"shared with Tfh (IL4+ Tfh), NKT, basophils",IL4 marks a Th2-type cytokine program (review-level); shared with Tfh within CD4.,,
th2_like,Th2-like,IL5,True,True,,False,True,Th2 effector cytokine (eosinophil),zhu2015,26044597,10.1016/j.cyto.2015.05.010,"T helper 2 (Th2) cell differentiation, type 2 innate lymphoid cell (ILC2) development and regulation of interleukin-4 (IL-4) and IL-13 production.",directly_supported_review,abstract_located,"Zhu 2015 abstract: 'IL-4, IL-5 and IL-13, the signature cytokines'",review,shared_other_lineage,also produced by ILC2; not CD4-specific,IL5 supports a Th2 effector program (review-level).,,
th2_like,Th2-like,IL13,True,True,,False,True,Th2 effector cytokine,zhu2015,26044597,10.1016/j.cyto.2015.05.010,"T helper 2 (Th2) cell differentiation, type 2 innate lymphoid cell (ILC2) development and regulation of interleukin-4 (IL-4) and IL-13 production.",directly_supported_review,abstract_located,"Zhu 2015 abstract: 'IL-4, IL-5 and IL-13, the signature cytokines'",review,shared_other_lineage,Th2/ILC2; some Tfh,IL13 supports a Th2 effector program (review-level).,,
th17_like,Th17-like,CCR6,True,True,,False,True,Th17 chemokine receptor,acosta,17486092,10.1038/ni1467,Surface phenotype and antigenic specificity of human interleukin 17-producing T helper memory cells.,directly_supported_primary,abstract_located,Acosta-Rodriguez 2007 abstract: 'expression of CCR6 and CCR4 together identified human memory' Th17,human,shared_other_lineage,shared with Treg/Tfh/some memory and B cells,CCR6 is a primary-supported human Th17-associated surface marker; not Th17-exclusive.,,
th17_like,Th17-like,RORC,True,True,,False,True,"RORγt, Th17 master transcription factor",ivanov,16990136,10.1016/j.cell.2006.07.035,The orphan nuclear receptor RORgammat directs the differentiation program of proinflammatory IL-17+ T helper cells.,directly_supported_primary,abstract_located,Ivanov 2006 abstract: 'orphan nuclear receptor RORgammat is the key transcription factor' (MOUSE),mouse_primary_human_extension,shared_other_lineage,shared with ILC3/MAIT/Tc17/γδT; human application is extension of mouse finding,RORC/RORγt is the primary-supported Th17 master TF (mouse); human use relies on cross-species extension.,,
